"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.102.244","993"
"Running|V2Dir|Valid","45.77.223.238","443"
"Fast|Guard|Running|Stable|V2Dir|Valid","185.44.81.21","9100"
"Fast|Running|V2Dir|Valid","141.147.54.226","9001"
"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","5.2.79.190","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","89.58.60.208","9001"
"Fast|Running|Stable|Valid","152.70.140.84","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","5.9.122.206","12249"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","178.170.10.39","9001"
"Fast|Running|Stable|Valid","178.18.94.247","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","209.141.37.94","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","83.78.216.17","63343"
"Exit|Fast|Running|Stable|Valid","192.42.116.179","9001"
"Fast|Running|V2Dir|Valid","145.40.203.242","9001"
"Fast|Running|Valid","80.64.218.59","443"
"Exit|Fast|Running|Stable|Valid","23.137.249.227","443"
"Fast|Running|V2Dir|Valid","149.210.164.228","12707"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","77.68.3.133","9000"
"Fast|Running|V2Dir|Valid","124.170.122.120","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","172.107.202.142","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","193.189.100.202","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","209.58.180.236","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","5.154.174.241","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","37.120.171.188","443"
"Fast|Running|V2Dir|Valid","139.162.86.33","5671"
"Fast|Running|V2Dir|Valid","61.2.46.222","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.101.78","9000"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.243.218.89","8443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","82.221.131.71","443"
"Fast|Running|Stable|Valid","45.79.159.52","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","45.138.228.251","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.103.114","443"
"Exit|Fast|Running|Stable|V2Dir|Valid","96.66.15.152","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","89.58.38.151","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","46.148.26.44","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","163.172.76.56","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","85.215.91.150","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","81.7.10.193","993"
"Fast|Guard|Running|Stable|V2Dir|Valid","185.163.45.212","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","164.132.207.62","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","136.243.3.194","8000"
"Fast|Running|V2Dir|Valid","91.42.217.170","9001"
"Running|V2Dir|Valid","198.74.57.57","443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","94.100.6.72","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.101.135","10135"
"Exit|Fast|Running|Stable|V2Dir|Valid","187.20.55.120","9090"
"Fast|Running|Stable|V2Dir|Valid","109.207.77.145","443"
