"puppetshow","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","131.153.152.170","443",true,"NULL"
"Cadelanne","Running|V2Dir|Valid","us","173.52.95.63","9004",true,"pool-173-52-95-63.nycmny.fios.verizon.net"
"IBDUUIBAD","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","212.227.74.176","9001",true,"ip212-227-74-176.pbiaas.com"
"NTH20R3","Exit|Fast|Running|Stable|Valid","nl","192.42.116.217","9002",true,"20.tor-exit.nothingtohide.nl"
"DigiGesTor1e1","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ch","185.195.71.244","443",true,"NULL"
"motauri","Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","se","95.143.193.125","443",true,"NULL"
"bang1","Fast|HSDir|Running|Stable|V2Dir|Valid","us","134.209.159.74","443",true,"NULL"
"relayon0153","Exit|Fast|Running|Stable|Valid","de","185.220.101.153","10153",true,"NULL"
"b0rken","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","45.129.182.225","443",true,"tor.b0rken.de"
"ThePearl","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","fr","51.195.26.2","9001",true,"ip2.ip-51-195-26.eu"
"cozybeardev","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ru","5.42.66.6","443",true,"NULL"
"bauruine","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","nl","78.142.18.219","444",true,"hostslick02-tor-exit.tuxli.org"
"idideditheconfig","Fast|Running|Stable|V2Dir|Valid","de","88.150.106.18","9001",true,"port-ip-88-150-106-18.reverse.mdcc-fun.de"
"prsv","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","ro","2.57.122.246","9300",true,"NULL"
"insist","Fast|Running|V2Dir|Valid","se","31.44.229.225","993",true,"NULL"
"marsmellow","Fast|Running|Stable|Valid","us","20.224.145.181","443",true,"NULL"
"BoingRelay","Fast|HSDir|Running|Stable|V2Dir|Valid","us","198.210.84.159","16547",true,"NULL"
"Enlil","Fast|Running|Stable|V2Dir|Valid","gb","195.20.255.173","443",true,"ip195-20-255-173.pbiaas.com"
"puffjunky","Fast|Running|Stable|Valid","ar","31.40.212.38","28273",false,"NULL"
"ForetNoire","Fast|HSDir|Running|Stable|V2Dir|Valid","fr","5.135.182.131","9001",true,"backup.spekadyon.org"
"Bigdaddy","Fast|Running|Stable|Valid","gb","185.21.217.32","10042",true,"NULL"
"roomformushroom","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ca","144.217.32.158","9001",true,"ip158.ip-144-217-32.net"
"PyotrTorpotkinTwo","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ca","142.44.243.133","9001",true,"chat.nullvoid.me"
"bauruine","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ru","45.136.244.187","443",true,"NULL"
"TerraExit","Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","no","185.181.61.23","9001",false,"NULL"
"RDPdotSH","Fast|HSDir|Running|Stable|V2Dir|Valid","de","45.94.31.26","9000",true,"NULL"
"root1Moh","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","89.58.34.53","9001",true,"v2202202167805178136.megasrv.de"
"DFRI27","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","se","171.25.193.78","444",true,"NULL"
"island","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","il","109.207.77.201","443",true,"NULL"
"RS1Lselectel","Fast|Guard|Running|Stable|V2Dir|Valid","ru","92.42.14.204","9001",true,"NULL"
"TORNODE","Fast|Running|V2Dir|Valid","gb","51.9.175.81","9001",true,"81.175.9.51.dyn.plus.net"
"tor103IPConnectINFO","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","eu","194.147.140.103","143",true,"tor103.ip-connect.info"
"GrmmlDag","Fast|Running|StaleDesc|V2Dir|Valid","de","213.239.215.221","9001",true,"dag.grmml.net"
"Indra","Fast|Running|Stable|V2Dir|Valid","fr","212.227.26.44","443",true,"ip212-227-26-44.pbiaas.com"
"Kupala","Fast|Running|Stable|V2Dir|Valid","de","85.215.236.160","443",true,"ip85-215-236-160.pbiaas.com"
"Jormungandr","Fast|Running|Stable|V2Dir|Valid","us","74.208.221.189","443",true,"ip74-208-221-189.pbiaas.com"
